TIMESTAMPms	M1ATTITUDEyaw
507	1.796017408370972e+0
776	1.800239205360413e+0
972	1.804820418357849e+0
1220	1.809621691703796e+0
1494	1.815620899200439e+0
1745	1.821148037910461e+0
1996	1.827139139175415e+0
2249	1.833271741867065e+0
2639	1.840213418006897e+0
2781	1.846301078796387e+0
3030	1.853199720382690e+0
3272	1.859499096870422e+0
3510	1.861981630325317e+0
3753	1.849871993064880e+0
3991	1.827781319618225e+0
4232	1.806684374809265e+0
4489	1.792435169219971e+0
4754	1.783985614776611e+0
5015	1.779422163963318e+0
5272	1.777568221092224e+0
5529	1.777979969978333e+0
5799	1.780234694480896e+0
6086	1.784294247627258e+0
6319	1.788670301437378e+0
6628	1.765398263931274e+0
6844	1.552672982215881e+0
7089	1.306085586547852e+0
7349	1.178025484085083e+0
7685	1.143674135208130e+0
7844	1.140496253967285e+0
8089	1.145452260971069e+0
8330	1.153345108032227e+0
8585	1.161235332489014e+0
8822	1.165919542312622e+0
9060	1.173066258430481e+0
9312	1.182111144065857e+0
9552	1.196599960327148e+0
9828	1.212401390075684e+0
10069	1.223728775978088e+0
10310	1.229007959365845e+0
10575	1.236086487770081e+0
10847	1.332044720649719e+0
11127	1.506056785583496e+0
11378	1.604061007499695e+0
11664	1.656448364257813e+0
11909	1.663341999053955e+0
12168	1.660113453865051e+0
12428	1.653483867645264e+0
12735	1.648425698280334e+0
12961	1.643741726875305e+0
13192	1.637704253196716e+0
13432	1.631190299987793e+0
13674	1.624034285545349e+0
13941	1.609631419181824e+0
14191	1.593276739120483e+0
14469	1.693670630455017e+0
14739	1.799317955970764e+0
14993	1.852160811424255e+0
15249	1.884765386581421e+0
15517	1.902065753936768e+0
15774	1.917053341865540e+0
16039	1.928417563438416e+0
16277	1.927974224090576e+0
16531	1.922841429710388e+0
16799	1.921351790428162e+0
17050	1.916274070739746e+0
17310	1.903258442878723e+0
17589	1.891834735870361e+0
17845	1.889664173126221e+0
18073	1.892662882804871e+0
18309	1.898525834083557e+0
18560	1.894761800765991e+0
18812	1.879299640655518e+0
19070	1.862028717994690e+0
19333	1.854865193367004e+0
19660	1.854037165641785e+0
19828	1.857552289962769e+0
20088	1.864380598068237e+0
20349	1.873957991600037e+0
20616	1.885628104209900e+0
20878	1.896919250488281e+0
21137	1.893271565437317e+0
21368	1.880135416984558e+0
21638	1.867008924484253e+0
21886	1.863614320755005e+0
22148	1.865163683891296e+0
22417	1.853584647178650e+0
22678	1.843349575996399e+0
22928	1.844188213348389e+0
23169	1.844069600105286e+0
23436	1.844510436058044e+0
23703	1.845165967941284e+0
23948	1.845757842063904e+0
24188	1.845635771751404e+0
24430	1.845637559890747e+0
24752	1.844544529914856e+0
24947	1.844957709312439e+0
25210	1.845923066139221e+0
25470	1.847212314605713e+0
25757	1.846956968307495e+0
25990	1.846485614776611e+0
26232	1.846993207931519e+0
26481	1.849066972732544e+0
26730	1.853312134742737e+0
26958	1.860069274902344e+0
27188	1.868386268615723e+0
27454	1.878290653228760e+0
27750	1.889517188072205e+0
27994	1.896965265274048e+0
28240	1.887215614318848e+0
28469	1.861057519912720e+0
28746	1.840072035789490e+0
29007	1.830328226089478e+0
29263	1.847191214561462e+0
29497	1.844803810119629e+0
29776	1.845331668853760e+0
29988	1.848380684852600e+0
30251	1.855847835540771e+0
30538	1.868099331855774e+0
30869	1.879433155059814e+0
31069	1.891475200653076e+0
31337	1.897159218788147e+0
31593	1.884578824043274e+0
31846	1.861222147941589e+0
32108	1.842141032218933e+0
32375	1.830750942230225e+0
32620	1.823186993598938e+0
32868	1.816597700119019e+0
33129	1.812142729759216e+0
33398	1.823977112770081e+0
33660	1.851675391197205e+0
33915	1.850703358650208e+0
34191	1.852485060691833e+0
34455	1.856494784355164e+0
34717	1.863992571830750e+0
34967	1.865443944931030e+0
35234	1.845029711723328e+0
35501	1.835451483726501e+0
35776	1.828483700752258e+0
35993	1.825208067893982e+0
36231	1.824931263923645e+0
36501	1.826916694641113e+0
36866	1.831907153129578e+0
37009	1.839208722114563e+0
37278	1.848240137100220e+0
37563	1.859180927276611e+0
37807	1.869460225105286e+0
38070	1.880716681480408e+0
38335	1.890872597694397e+0
38585	1.902842879295349e+0
38812	1.902384042739868e+0
39067	1.889631390571594e+0
39336	1.871080160140991e+0
39613	1.860501170158386e+0
39835	1.854246377944946e+0
40089	1.849384427070618e+0
40357	1.845965266227722e+0
40610	1.845403790473938e+0
40879	1.851758122444153e+0
41153	1.861279129981995e+0
41421	1.869848012924194e+0
41680	1.877682089805603e+0
41926	1.884751796722412e+0
42192	1.890064239501953e+0
42460	1.895007491111755e+0
42766	1.895519971847534e+0
42955	1.879119873046875e+0
43227	1.848994374275208e+0
43505	1.826351761817932e+0
43745	1.810178875923157e+0
44009	1.797140955924988e+0
44279	1.801181435585022e+0
44569	1.818965196609497e+0
44815	1.837282538414001e+0
45072	1.846546888351440e+0
45335	1.851840853691101e+0
45569	1.854724764823914e+0
45835	1.856114506721497e+0
46092	1.856486797332764e+0
46340	1.856090545654297e+0
46591	1.854707360267639e+0
46855	1.852860093116760e+0
47088	1.850790500640869e+0
47359	1.848690152168274e+0
47623	1.846750378608704e+0
47848	1.845174193382263e+0
48095	1.843577504158020e+0
48331	1.842011332511902e+0
48633	1.840883851051331e+0
48864	1.842210412025452e+0
49116	1.842935085296631e+0
49380	1.841497302055359e+0
49626	1.838969945907593e+0
49896	1.836903572082520e+0
50148	1.834569692611694e+0
